Designator,Mid X,Mid Y,Rotation,Layer
D28,328.5325,-77.6602,90.0,bottom
D29,347.5825,-77.6602,90.0,bottom
D3,176.1325,-53.8473,90.0,bottom
D31,376.1368,-77.6848,90.0,bottom
D32,409.495,-77.6602,90.0,bottom
D33,428.545,-77.6602,90.0,bottom
D34,447.595,-77.6602,90.0,bottom
D35,123.745,-96.7102,90.0,bottom
D36,147.5575,-96.7102,90.0,bottom
D37,166.6075,-96.7102,90.0,bottom
D38,185.6575,-96.7102,90.0,bottom
D39,204.7075,-96.7102,90.0,bottom
D4,195.1825,-53.8473,90.0,bottom
D40,223.7575,-96.7102,90.0,bottom
D41,242.8075,-96.7102,90.0,bottom
D42,261.8575,-96.7102,90.0,bottom
D43,280.9075,-96.7102,90.0,bottom
D44,299.9575,-96.7102,90.0,bottom
D45,319.0075,-96.7102,90.0,bottom
D46,338.0575,-96.7102,90.0,bottom
D47,357.1075,-96.7102,90.0,bottom
D48,380.92,-96.7102,90.0,bottom
D49,409.495,-96.7102,90.0,bottom
D5,214.2325,-53.8473,90.0,bottom
D50,428.545,-96.7102,90.0,bottom
D51,447.595,-96.7102,90.0,bottom
D53,131.0518,-116.8973,90.0,bottom
D54,152.32,-115.7602,90.0,bottom
D55,171.37,-115.7602,90.0,bottom
D56,190.42,-115.7602,90.0,bottom
D57,209.47,-115.7602,90.0,bottom
D58,228.52,-115.7602,90.0,bottom
D59,247.57,-115.7602,90.0,bottom
D6,242.8075,-53.8473,90.0,bottom
D60,266.62,-115.7602,90.0,bottom
D61,285.67,-115.7602,90.0,bottom
D62,304.72,-115.7602,90.0,bottom
D63,323.77,-115.7602,90.0,bottom
D64,342.82,-115.7602,90.0,bottom
D65,373.77625,-115.7602,90.0,bottom
D66,130.88875,-134.8102,90.0,bottom
D67,161.845,-134.8102,90.0,bottom
D68,180.895,-134.8102,90.0,bottom
D69,199.945,-134.8102,90.0,bottom
D7,261.8575,-53.8473,90.0,bottom
D70,218.995,-134.8102,90.0,bottom
D71,238.045,-134.8102,90.0,bottom
D72,257.095,-134.8102,90.0,bottom
D73,276.145,-134.8102,90.0,bottom
D74,295.195,-134.8102,90.0,bottom
D75,314.245,-134.8102,90.0,bottom
D76,333.295,-134.8102,90.0,bottom
D77,369.01375,-134.8102,90.0,bottom
D78,428.545,-134.8102,90.0,bottom
D79,121.36375,-153.8602,90.0,bottom
D8,280.9075,-53.8473,90.0,bottom
D80,145.17625,-153.8602,90.0,bottom
D81,168.98875,-153.8602,90.0,bottom
D82,240.42625,-153.8602,90.0,bottom
D83,311.86375,-153.8602,90.0,bottom
D84,335.67625,-153.8602,90.0,bottom
D85,359.48875,-153.8602,90.0,bottom
D86,383.30125,-153.8602,90.0,bottom
D87,409.495,-153.8602,90.0,bottom
D88,428.545,-153.8602,90.0,bottom
D89,447.595,-153.8602,90.0,bottom
D9,299.9575,-53.8473,90.0,bottom
J1,132.9874,-52.2285,180.0,bottom
LED1,113.9025,-54.9273,0.0,bottom
LED10,323.4525,-54.9273,0.0,bottom
LED11,342.5025,-54.9273,0.0,bottom
LED12,361.5525,-54.9273,0.0,bottom
LED13,380.6025,-54.9273,0.0,bottom
LED14,404.415,-54.9273,0.0,bottom
